Landfill_ID,Landfill_Name,Landfill_Alias,State,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
352,Puente Hills LF,Puente Hills (PERG); San Gabriel Valley Dump,CA,Whittier,Los Angeles,90601.0,34.02033,-118.00603999999998,Public,1957.0,2013.0,Closed,590.0,229.5,142400000.0,142250454.0,2135318.0
966,Fresh Kills SLF,,NY,Staten Island,Richmond,10312.0,40.571999999999996,-74.188,Public,1948.0,2002.0,Closed,1416.0,,135450945.0,135450945.0,1014300.0
1465,McCarty Road LF,,TX,Houston,Harris,77078.0,29.827501,-95.24333399999999,Private,1972.0,2031.0,Open,388.0,,123783905.0,97983501.0,1834618.0
232,Olinda Alpha SLF,Olinda SLF,CA,Brea,Orange,92823.0,33.933609999999994,-117.84361000000001,Public,1960.0,2021.0,Open,420.0,235.0,96736556.0,86320460.0,2331531.0
930,Apex Regional LF,,NV,Las Vegas,Clark,89165.0,36.374,-114.86518000000001,Private,1993.0,2365.0,Open,297.0,300.0,994920296.0,72848073.0,2804493.0
397,Monarch Hill Landfill,Central Disposal SLF; Mount Trashmore,FL,Pompano Beach,Broward,33073.0,26.283,-80.161,Private,1965.0,2031.0,Open,314.2,137.0,84293492.0,72447825.0,1673839.0
1718,Denver Arapahoe Disposal Site (DADS),Lowry LF,CO,Aurora,Arapahoe,80018.0,39.66,-104.69,Public,1966.0,2150.0,Open,677.0,159.0,389072613.0,71470792.0,2393438.0
1461,DFW Recycling & Disposal Facility,Dallas-Fort Worth LF,TX,Lewisville,Denton,75057.0,33.01615,-96.96316,Private,1972.0,2023.0,Open,296.0,73.0,,70947369.0,1344339.0
1879,Arbor Hills Landfill Inc.,Onyx Arbor Hills East and West,MI,Northville,Washtenaw,48168.0,42.40684,-83.55579,Private,1970.0,2028.0,Open,263.0,,95366291.0,66455203.0,2709453.0
1249,GROWS Landfill,GROWS North,PA,Morrisville,Bucks,19067.0,40.159344,-74.77669499999999,Private,1970.0,2028.0,Open,,,105107575.0,65613970.0,4071058.0
286,Sunshine Canyon Landfill,North Valley Landfill,CA,Sylmar,Los Angeles,91342.0,34.32352,-118.50294,Private,1955.0,2037.0,Open,350.6,,109393338.0,65207800.0,2307000.0
39,Altamont Landfill & Resource Recovery Facility,,CA,Livermore,Alameda,94551.0,37.75,-121.65666999999999,Private,1980.0,2052.0,Open,237.3,175.0,131857568.0,63798959.0,1574396.0
1177,"Rumpke SLF, Inc.",Cincinnati Regional Refuse Facility; Hamilton County-Cincinnati LF,OH,Cincinnati,Hamilton,45251.0,39.2745,-84.59822,Private,1945.0,2053.0,Open,,,165063026.0,63285314.0,2396634.0
1241,Columbia Ridge LF,,OR,Arlington,Gilliam,97812.0,45.639234,-120.21723700000001,Private,1990.0,2131.0,Open,273.5,250.0,391644390.0,58676037.0,2758671.0
