Landfill_ID,Landfill_Name,Landfill_Alias,State,Address,City,County,Zipcode,Latitude,Longitude,Ownership_Type,Year_opened,Landfill_Closure_Year,Status,Current_Area,Current_Depth,Design_Capacity_tons,Waste_in_Place_tons,Annual_waste_acceptance_rate_tons
352,Puente Hills LF,Puente Hills (PERG); San Gabriel Valley Dump,CA,2800 S. Workman Mill Road,Whittier,Los Angeles,90601,34.02033,-118.00604,Public,1957,2013,Closed,590,229.5,"142,400,000","142,250,454","2,135,318"
966,Fresh Kills SLF,,NY,1010 Muldoon Avenue,Staten Island,Richmond,10312,40.572,-74.188,Public,1948,2002,Closed,1416,,"135,450,945","135,450,945","1,014,300"
1465,McCarty Road LF,,TX,5757A Oates Road,Houston,Harris,77078,29.827501,-95.243334,Private,1972,2031,Open,388,,"123,783,905","97,983,501","1,834,618"
232,Olinda Alpha SLF,Olinda SLF,CA,1942 N. Valencia Avenue,Brea,Orange,92823,33.93361,-117.84361,Public,1960,2021,Open,420,235,"96,736,556","86,320,460","2,331,531"
930,Apex Regional LF,,NV,13550 US Highway 93 North,Las Vegas,Clark,89165,36.374,-114.86518,Private,1993,2365,Open,297,300,"994,920,296","72,848,073","2,804,493"
397,Monarch Hill Landfill,Central Disposal SLF; Mount Trashmore,FL,"2700 NW 48th Street
(2700 Wiles Road)",Pompano Beach,Broward,33073,26.283,-80.161,Private,1965,2031,Open,314.2,137,"84,293,492","72,447,825","1,673,839"
1718,Denver Arapahoe Disposal Site (DADS),Lowry LF,CO,3500 South Gun Club Road,Aurora,Arapahoe,80018,39.66,-104.69,Public,1966,2150,Open,677,159,"389,072,613","71,470,792","2,393,438"
1461,DFW Recycling & Disposal Facility,Dallas-Fort Worth LF,TX,1600 A South Railroad Street,Lewisville,Denton,75057,33.01615,-96.96316,Private,1972,2023,Open,296,73,,"70,947,369","1,344,339"
1879,Arbor Hills Landfill Inc.,Onyx Arbor Hills East and West,MI,10690 W. Six Mile Road,Northville,Washtenaw,48168,42.40684,-83.55579,Private,1970,2028,Open,263,,"95,366,291","66,455,203","2,709,453"
1249,GROWS Landfill,GROWS North,PA,"1513 Bordentown Road
1000 New Ford Mill Road",Morrisville,Bucks,19067,40.159344,-74.776695,Private,1970,2028,Open,,,"105,107,575","65,613,970","4,071,058"
286,Sunshine Canyon Landfill,North Valley Landfill,CA,14747 San Fernando Road,Sylmar,Los Angeles,91342,34.32352,-118.50294,Private,1955,2037,Open,350.6,,"109,393,338","65,207,800","2,307,000"
39,Altamont Landfill & Resource Recovery Facility,,CA,10840 Altamont Pass Road,Livermore,Alameda,94551,37.75,-121.65667,Private,1980,2052,Open,237.3,175,"131,857,568","63,798,959","1,574,396"
1177,"Rumpke SLF, Inc.",Cincinnati Regional Refuse Facility; Hamilton County-Cincinnati LF,OH,"10795 Hughes Road
3800 Struble Road",Cincinnati,Hamilton,45251,39.2745,-84.59822,Private,1945,2053,Open,,,"165,063,026","63,285,314","2,396,634"
78,Bradley Landfill,Bradley Avenue West SLF and Bradley East LF,CA,9227 Tujunga Avenue,Sun Valley,Los Angeles,91352,34.23753,-118.38042,Private,1958,2007,Closed,168,,,"61,302,299","408,132"
1241,Columbia Ridge LF,,OR,18177 Cedar Springs Lane,Arlington,Gilliam,97812,45.639234,-120.217237,Private,1990,2131,Open,273.5,250,"391,644,390","58,676,037","2,758,671"
