Image ID,Confidence,Garbage visible?,Barren,Forest,Residential,Water,Other,Other Notes
BASE_-61978990586575814.png,2,0,1,0,0,0,,
BASE_-62628395852287489.png,2,0,1,0,0,0,,
BASE_66819694342736986.png,2,0,0,1,0,0,,
BASE_-92574103480129978.png,2,0,0,1,0,0,,
BASE_134794868496295357.png,2,0,1,0,0,0,,
BASE_-152021001596268407.png,0,0,1,0,0,0,,
BASE_-177245958225219311.png,2,0,1,0,0,0,,
BASE_-189591402109727414.png,2,0,0,0,1,0,,
BASE_200684889074310828.png,2,0,0,0,1,0,,
BASE_215079064316262222.png,2,0,0,0,0,0,,
BASE_-266974579687001301.png,2,0,1,0,0,0,,
BASE_273347076688279094.png,2,0,1,0,0,0,,
BASE_-288078497697188482.png,2,0,0,1,0,0,,
BASE_-295243478812602914.png,2,0,0,1,0,0,,
BASE_-302036453414062982.png,2,0,1,0,0,0,,
BASE_337814274883901187.png,1,0,1,0,0,0,,
BASE_-425517559922997918.png,2,0,1,0,0,0,,cent image
BASE_-447863101117994402.png,2,0,1,0,0,1,,
BASE_-456573913003169158.png,2,0,1,0,0,0,,
BASE_-568675159852643313.png,2,0,1,0,0,0,,
BASE_-570403444821036019.png,2,0,0,1,0,0,,
BASE_-571770600406167003.png,2,0,1,0,0,0,,
BASE_-590005112143996235.png,2,0,1,0,0,0,,
BASE_-591897179470433847.png,2,0,1,0,0,0,,
BASE_598425525185634742.png,2,0,1,0,0,0,,
BASE_-600771650291512230.png,2,0,1,0,0,0,,
BASE_-610452506248523948.png,2,0,0,0,1,0,,
BASE_-628723816891675671.png,2,0,1,0,0,0,,
BASE_693069040299001424.png,2,0,1,0,0,0,,
BASE_-697804341138723359.png,2,0,1,0,0,0,,
BASE_-733015046535346648.png,2,0,1,0,0,0,,
BASE_-760870156787768748.png,2,0,0,0,0,1,,
BASE_768688191985497944.png,2,0,1,0,0,0,,
BASE_-837959172080380736.png,2,0,1,0,0,0,,
BASE_888039366689038339.png,2,0,0,1,0,0,,
BASE_1026546410928616532.png,2,0,1,0,0,0,,
BASE_1046491282424785052.png,2,0,0,1,0,0,,
BASE_-1049944883345932760.png,2,0,0,1,0,0,,
BASE_1063256854376651388.png,2,0,0,1,0,0,,
BASE_-1063436436075653373.png,2,0,0,1,1,1,,
BASE_-1071054327885272764.png,2,0,0,1,0,0,,
BASE_1085846695663850186.png,2,0,0,1,0,0,,
BASE_-1101737022506970291.png,2,0,1,0,0,0,,
BASE_-1153099531200846661.png,2,0,0,1,0,0,,
BASE_-1164779803092257757.png,2,0,1,0,0,0,,
BASE_-1184693042431011069.png,2,0,0,0,0,0,,cent image 
BASE_1239056967803418460.png,2,0,1,0,0,0,,
BASE_1244957325490534235.png,2,0,1,0,0,0,,
BASE_1249454467865417475.png,1,0,1,0,0,0,,
BASE_1282722117305274295.png,1,0,1,0,0,0,,
BASE_-1283430664294600479.png,2,0,0,1,0,0,,
BASE_-1298266320187592621.png,2,0,1,0,0,0,,
BASE_1313315882885906404.png,2,0,1,0,0,0,,
BASE_1328577404173836053.png,2,0,1,0,0,0,,
BASE_-1333089172429349824.png,2,0,1,0,0,0,,
BASE_1363457442227964289.png,2,0,1,0,0,0,,
BASE_-1456920003403089695.png,2,0,0,1,0,0,,
BASE_1544447123113965430.png,2,0,1,0,0,0,,
BASE_-1546189697634007284.png,2,0,1,0,0,1,,
BASE_1550049339051418460.png,2,0,0,1,0,0,,
BASE_1563572138846087324.png,2,0,0,1,0,0,,
BASE_1574024697919985578.png,2,0,1,0,0,0,,
BASE_1655963232538507126.png,2,0,1,0,0,0,,
BASE_-1689427419387407839.png,2,0,0,1,0,0,,
BASE_-1689693939483206578.png,2,0,1,0,0,0,,
BASE_-1716074942936195412.png,2,0,0,1,0,0,,
BASE_-1734049505710701980.png,2,0,1,0,0,0,,
BASE_-1740374931514326428.png,2,0,1,0,0,0,,
BASE_1741555557153040279.png,2,0,1,0,0,0,,
BASE_1895629097426679166.png,2,0,0,1,0,0,,
BASE_-1902472050439249535.png,2,0,0,1,0,0,,
BASE_1914496144578387628.png,2,0,0,0,1,1,,
BASE_2028248281598891054.png,2,0,1,0,0,0,,
BASE_2045587663935651350.png,2,0,1,0,0,0,,
BASE_2050304993253106532.png,0,0,1,0,0,0,,
BASE_-2068460300890657477.png,2,0,1,0,0,0,,
BASE_2114460036789431182.png,2,0,0,1,0,0,,
BASE_2130288512563914647.png,2,0,1,0,0,0,,
BASE_2192826061021546933.png,2,0,0,1,0,0,,
BASE_-2238825883243780799.png,0,0,1,0,0,0,,
BASE_2249916865257919572.png,2,0,1,0,0,0,,
BASE_2255937774057390860.png,2,0,1,0,0,0,,
BASE_2319498005832297480.png,2,0,1,0,0,0,,
BASE_-2335056045682927038.png,2,0,1,0,0,0,,
BASE_-2345325893727018095.png,2,0,0,0,1,0,,
BASE_-2400425264015371142.png,1,0,1,0,1,0,,
BASE_-2440052644454841783.png,2,0,1,0,0,0,,
BASE_-2484843831378825213.png,2,0,0,0,1,0,,
BASE_-2495580900068665597.png,2,0,0,1,0,0,,
BASE_-2512545083768887738.png,2,0,0,1,0,1,,
BASE_-2547118620055092302.png,2,0,0,1,0,0,,
BASE_-2565722472352323671.png,2,0,1,0,0,0,,
BASE_-2588584246005556160.png,2,0,1,0,0,0,,
BASE_-2673199451663309545.png,1,0,1,0,0,0,,
BASE_-2706081169766776261.png,2,0,1,0,1,0,,
BASE_-2717091779542283964.png,2,0,0,1,0,0,,
BASE_2753182618315170572.png,2,0,0,0,0,1,,
BASE_-2816490075042442320.png,2,0,1,0,0,0,,
BASE_-2913620284476188925.png,2,0,0,1,1,0,,
BASE_2968657126398609097.png,2,0,0,0,1,0,,
BASE_2977464104282733405.png,2,0,1,0,0,0,,
BASE_-3012529024878901781.png,1,0,1,0,0,0,,
BASE_-3028726265398004614.png,2,0,0,0,1,0,,
BASE_-3059725556238158628.png,1,0,1,0,0,0,,
BASE_-3081693946981470917.png,1,0,1,0,0,0,,
BASE_3201256118807428089.png,2,0,1,0,0,0,,
BASE_-3206927582142438213.png,2,0,0,1,0,0,,
BASE_-3230338880608917387.png,1,0,0,1,0,1,,
BASE_3300943484704982796.png,2,0,0,0,1,1,,
BASE_-3328113595486576644.png,2,0,1,0,0,0,,
BASE_-3359339986220244046.png,2,0,1,0,0,0,,
BASE_3385781652942822304.png,1,0,1,0,0,0,,
BASE_-3401676135250847997.png,2,0,0,1,1,0,,
BASE_-3431636846014224319.png,2,0,1,0,0,0,,
BASE_-3443464249716046065.png,1,0,1,0,0,0,,
BASE_-3457373988122871986.png,1,0,0,0,1,0,,
BASE_-3468095105790710957.png,2,0,1,0,0,0,,
BASE_3565928909026643959.png,2,0,1,0,0,0,,
BASE_3581962870913943414.png,2,0,1,0,0,0,,
BASE_-3593765859608518663.png,2,0,1,0,0,0,,
BASE_3605293654162020946.png,2,0,1,0,0,0,,
BASE_-3607638091051221452.png,2,0,1,0,0,1,,
BASE_-3626748716858982019.png,2,0,0,0,1,1,,
BASE_-3741072213298067619.png,2,0,0,1,0,0,,
BASE_-3741310280969152704.png,2,0,1,0,0,0,,
BASE_3757027391415825172.png,2,0,0,0,1,1,,
BASE_-3777320878975474501.png,2,0,0,1,0,0,,
BASE_3778111957231113338.png,2,0,1,0,0,0,,
BASE_-3861872185835071741.png,2,0,0,1,0,0,,
BASE_3874434943423342487.png,2,0,1,0,0,0,,
BASE_3879261307636338016.png,2,0,0,0,1,1,,
BASE_-3887113142884470781.png,2,0,1,0,0,0,,
BASE_3890359585523129248.png,2,0,0,1,0,0,,
BASE_-3898694527585225362.png,2,0,1,0,0,0,,
BASE_-3912787360286926318.png,2,0,1,0,0,0,,
BASE_4022245466911781733.png,2,0,1,0,0,0,,
BASE_-4034682569091970751.png,2,0,0,1,0,0,,
BASE_4044107481746072763.png,,0,0,0,0,0,,
BASE_4045076470052259534.png,2,0,0,1,0,0,,
BASE_-4096223065787559083.png,2,0,0,1,0,0,,
BASE_4162792718231215008.png,2,0,1,0,0,0,,
BASE_-4175998160158152902.png,2,0,0,1,0,0,,
BASE_-4226713958421031461.png,1,0,0,1,0,0,,
BASE_-4234507315295756850.png,2,0,1,0,0,0,,
BASE_4308001841279235224.png,2,0,0,1,0,0,,
BASE_4316907192304760794.png,1,0,0,1,0,0,,
BASE_4325413906637275763.png,2,0,0,1,0,0,,
BASE_4336552741894343368.png,2,0,0,1,0,0,,
BASE_4345899038259121447.png,2,0,0,1,0,0,,
BASE_-4346005266291430332.png,2,0,0,1,0,0,,
BASE_4371448226118340436.png,2,0,1,0,0,1,,
BASE_4382504663649419748.png,2,0,0,1,0,0,,
BASE_-4386232790132375068.png,2,0,1,0,0,0,,
BASE_4407334823964376929.png,2,0,1,0,0,0,,
BASE_4420039008823029687.png,2,0,1,0,0,0,,
BASE_4459130906220368664.png,2,0,1,0,0,0,,
BASE_-4465098861286489898.png,0,0,1,0,0,0,,
BASE_4577233543562176407.png,2,0,1,0,0,0,,
BASE_-4587433187900040815.png,2,0,1,0,0,0,,
BASE_4594373519970578641.png,2,0,1,0,0,0,,
BASE_4655928931060287659.png,2,0,1,0,0,0,,
BASE_4713256256400727983.png,2,0,1,0,0,0,,
BASE_-4717714455170715683.png,2,0,1,0,0,0,,
BASE_-4732487939537774845.png,2,0,0,1,0,0,,
BASE_4749387690690268475.png,2,0,1,0,0,0,,
BASE_4806885492569731075.png,2,0,1,0,0,0,,
BASE_4814532090738804066.png,2,0,0,1,0,0,,
BASE_-4820392448116826309.png,2,0,0,1,0,1,,
BASE_4852868810863989394.png,2,0,0,1,0,0,,
BASE_-4872893653881746618.png,2,0,0,1,0,0,,
BASE_-4922630052566011695.png,2,0,1,0,0,0,,
BASE_4922989032896450323.png,2,0,1,0,0,0,,
BASE_4934440913563581433.png,2,0,1,0,0,0,,
BASE_4945412603820915379.png,2,0,1,0,0,0,,
BASE_-4945475069845079292.png,,0,0,0,0,0,,overexposed
BASE_-4990209234975995209.png,2,0,0,0,0,1,,
BASE_5038730990460229379.png,2,0,1,0,0,0,,
BASE_5040000760569644219.png,2,0,0,1,0,0,,
BASE_-5047272845646295957.png,2,0,1,0,0,0,,
BASE_5075024103856064949.png,2,0,1,0,0,0,,
BASE_-5075573738505999849.png,2,0,1,0,0,0,,
BASE_-5076793589189492613.png,2,0,0,1,0,0,,
BASE_-5080378754061912395.png,2,0,0,1,0,0,,
BASE_5129315943991729117.png,,0,0,0,0,0,,Overexposed
BASE_-5141126245131157381.png,2,0,0,1,1,0,,
BASE_-5150917126496017221.png,2,0,0,1,1,0,,
BASE_5157316166327642027.png,2,0,1,0,0,0,,
BASE_-5216645153597483737.png,2,0,1,0,0,0,,
BASE_-5229787023752759961.png,2,0,1,0,0,0,,
BASE_5247661624211636128.png,2,0,0,0,1,0,,
BASE_5249463164881424950.png,2,0,1,0,0,0,,
BASE_5281064382072383046.png,2,0,0,1,0,0,,
BASE_5303080539942091527.png,2,0,1,0,0,0,,
BASE_5332099431649711783.png,2,0,1,0,0,0,,
BASE_-5350588210295249354.png,2,0,1,0,0,0,,
BASE_-5392537508361197673.png,2,0,1,0,0,0,,
BASE_-5397250946544544181.png,2,0,1,0,0,0,,
BASE_5461178830696420290.png,1,0,0,1,0,0,,
BASE_5465445374803632189.png,2,0,1,0,0,0,,
BASE_5522390374381819148.png,2,0,0,1,0,0,,
BASE_-5536090019957607058.png,2,0,1,0,0,0,,
BASE_5555838694928401688.png,2,0,1,0,0,0,,
BASE_5569592131621417169.png,2,0,1,0,0,0,,
BASE_5613877461066286860.png,2,0,0,0,1,1,,
BASE_-5628419985410392323.png,1,0,0,1,0,0,,
BASE_5636993573178726147.png,2,0,0,1,0,0,,
BASE_-5657413222068156122.png,2,0,1,0,0,0,,
BASE_-5678065983721243566.png,2,0,1,0,0,1,,
BASE_-5714122439369269892.png,2,0,1,0,0,0,,
BASE_-5729587230494685198.png,2,0,1,0,0,0,,
BASE_5787474753413853149.png,2,0,1,0,0,0,,
BASE_-5846838768870546111.png,2,0,1,0,0,0,,
BASE_-5864600207402112868.png,,0,0,0,0,0,,
BASE_-5874188076957872163.png,2,0,1,0,0,0,,
BASE_5956339299579690749.png,2,0,0,1,0,0,,
BASE_5971902062150627537.png,2,0,1,0,0,0,,
BASE_-6014233807898322454.png,2,0,0,1,0,0,,
BASE_-6024154806100600141.png,2,0,0,1,0,0,,
BASE_6025617745542907091.png,2,0,0,1,0,0,,
BASE_-6034989361517220796.png,1,0,0,1,0,0,,
BASE_6036105429766213180.png,2,0,1,0,0,0,,
BASE_6037351910798551286.png,2,0,1,0,0,0,,
BASE_-6053207641978784075.png,2,0,0,1,0,0,,
BASE_6067657263734986499.png,2,0,0,1,0,0,,
BASE_6071877610871298976.png,2,0,0,1,0,0,,
BASE_-6076551153364930682.png,2,0,1,0,0,0,,
BASE_-6097182219277261284.png,2,0,1,0,0,0,,
BASE_6102895575458507497.png,2,0,1,0,0,0,,
BASE_-6117447020023605501.png,2,0,0,1,0,0,,cent image
BASE_6142684892937720954.png,2,0,0,0,1,0,,
BASE_-6200678944284090147.png,2,0,1,0,0,0,,
BASE_-6207071190891239513.png,2,0,1,0,0,0,,
BASE_6222734974089961730.png,2,0,1,0,0,0,,
BASE_6257128823627753844.png,2,0,0,1,0,0,,
BASE_-6262380604242899426.png,2,0,1,0,0,0,,
BASE_-6279465716326859848.png,2,0,1,0,0,0,,
BASE_-6285568708108625931.png,2,0,0,0,1,1,,
BASE_6288806143883257133.png,2,0,0,1,0,0,,
BASE_-6344354892777205622.png,2,0,1,0,0,0,,
BASE_6353261910275185568.png,1,0,0,1,0,0,,
BASE_6439663770618138051.png,2,0,1,0,0,0,,
BASE_-6440664757687339812.png,,0,0,0,0,0,,overexposed
BASE_-6460271119146422307.png,2,0,1,0,1,0,,
BASE_6470365327890519580.png,2,0,1,0,0,0,,
BASE_-6487830200207814828.png,2,0,0,0,1,0,,
BASE_6500836659937956763.png,2,0,1,0,0,0,,
BASE_6530871335098629674.png,2,0,1,0,0,0,,
BASE_6552648104742969480.png,2,0,0,1,0,0,,
