,name,country,category,lat,lng
0,BORDO PONIENTE,Mexico,Dumpsites,19.4529960,-99.016299
1,CLUJ NAPOCA,Romania,Dumpsites,46.76510351,23.68727446
2,JARDIM GRAMACHO,Brazil,Dumpsites,-22.7489058,-43.2589781
3,PAYATAS,Philippines,Dumpsites,14.714258252,121.10675811
4,DANDORA MUNICIPAL DUMPING SITE,Kenya,Dumpsites,-1.2492656896,36.895381378
5,ORADEA,Romania,Dumpsites,47.109640413,21.857020855
6,LA CHURECA,Nicaragua,Dumpsites,12.1658554,-86.3033152
7,BANTAR GEBANG,Indonesia,Dumpsites,-6.347885868,106.997008324
8,OKHLA,India,Dumpsites,28.323740,77.1781718
9,OLUSHOSUN,Nigeria,Dumpsites,6.59272532,3.378510475
10,BHALASWA,India,Dumpsites,28.740419640,77.15741158
11,DEONAR,India,Dumpsites,19.07231893,72.92677403
12,TRUTIER,Haiti,Dumpsites,18.6101938,-72.33403802
13,GHAZIPUR,India,Dumpsites,28.62502474,77.327442169
14,EL TREBOL,Guatemala,Dumpsites,14.62731301,-90.53275108
15,K'ARA K'ARA,Bolivia,Dumpsites,-17.4772867,-66.1243875
16,STUNG MEANCHEY,Cambodia,Dumpsites,11.53406243,104.89763259
17,KODUNGAIYUR,India,Dumpsites,13.13435818,80.26847362
18,MEHMOOD BOOTI,Pakistan,Dumpsites,31.60997221,74.38688278
19,PERUGUNDI,India,Dumpsites,12.95491878,80.2239275
20,SKAFIDARAS,Greece,Dumpsites,35.32849231,25.05083442
21,BARILOCHE,Argentina,Dumpsites,-41.17503619,-71.35499954
22,ALUSHTA,Ukraine,Dumpsites,44.72191754,34.43486452
23,GASPRA,Ukraine,Dumpsites,44.44940626,34.10666942
24,IKSHA,Russia,Dumpsites,56.2069068704264,37.4152708053588
25,NOVOSIBIRSK,Russia,Dumpsites,55.0529690502102,83.0730986595153
26,SIDON,Lebanon,Dumpsites,33.55026501,35.36456108
27,BISHEK DUMPSITE,Kyrgyzstan,Dumpsites,42.967222247752,74.58895790374
28,PREDIO,Argentina,Dumpsites,-38.07528889,-57.6506611
29,DHAPA,India,Dumpsites,22.53893819,88.42331171
30,PIRANA,India,Dumpsites,22.98022411,72.567336559
31,REPI,Ethiopia,Dumpsites,8.975500449,38.71208667
32,BASURAL DE CONCEPCIÓN,Argentina,Dumpsites,-32.5032389,-58.2716222
33,BASURAL DE ROQUE SÁENZ PEÑA,Argentina,Dumpsites,-26.7747222,-60.4711111
34,MBEUBEUSS,Senegal,Dumpsites,14.803593,-17.3132516
35,LA DUQUESA,Dominican Republic,Dumpsites,18.5608972,-69.9680215
36,IERAPETRA,Greece,Dumpsites,35.0427868013322,25.7296049594879
37,KERATEA,Greece,Dumpsites,37.79826797,24.04171228
38,KALYBIA,Greece,Dumpsites,37.84654507,23.89797806
39,SCHISTO,Greece,Dumpsites,37.987199958,23.599641323
40,DOUROUTI,Greece,Dumpsites,39.6173138889,20.8146833333
41,ARTA,Greece,Dumpsites,39.141727453,21.004834771
42,TEGUCIGALPA DUMP,Honduras,Dumpsites,14.1484305556,-87.2241444444
43,MOTI JHEEL,India,Dumpsites,26.84452778,80.906347222
44,AL AKAIDER,Jordan,Dumpsites,32.515153959462,36.112296581268
