               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096628,             0.02106,                   0,              0.3328,             0.11824,             0.12815,            0.044736,            0.073063,            0.013332,                   0,             0.00161,             0.00161,             0.08551
                   1,            0.070343,            0.021648,                   0,             0.34393,             0.31852,             0.24156,            0.084117,            0.060094,            0.011362,                   0,           0.0032299,           0.0032299,             0.07093
                   2,            0.059793,            0.019499,                   0,             0.41533,             0.38519,              0.3283,             0.12968,            0.053823,            0.011172,                   0,           0.0048495,           0.0048495,             0.05635
                   3,            0.056996,            0.018626,                   0,             0.55653,             0.48148,             0.48164,             0.20933,            0.052996,           0.0098389,                   0,           0.0064686,           0.0064686,            0.041769
                   4,            0.055585,            0.018404,                   0,             0.37296,             0.35556,             0.28778,             0.12779,            0.054383,           0.0098937,                   0,           0.0080868,           0.0080868,            0.027187
                   5,            0.054444,             0.01812,                   0,             0.47014,              0.3037,             0.32218,             0.12977,            0.056076,            0.010283,                   0,            0.009704,            0.009704,            0.012604
                   6,            0.054203,            0.017829,                   0,             0.51986,             0.45185,             0.45757,             0.21573,            0.048841,           0.0099435,                   0,           0.0099911,           0.0099911,           0.0099911
                   7,            0.050779,            0.018537,                   0,             0.65466,             0.40722,             0.46815,             0.21444,            0.048303,           0.0099783,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.050673,            0.018026,                   0,             0.48477,             0.35544,             0.36813,             0.17387,            0.053406,            0.010601,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.050557,            0.017578,                   0,             0.56692,             0.53333,             0.50031,             0.22161,            0.048342,           0.0092667,                   0,           0.0099842,           0.0099842,           0.0099842
