               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099982,            0.021463,                   0,             0.10564,              0.1037,            0.063166,            0.018579,            0.078807,            0.013626,                   0,             0.00138,             0.00138,             0.08758
                   1,            0.074566,            0.021396,                   0,                 0.4,                 0.4,              0.3543,             0.12697,             0.06038,            0.012286,                   0,           0.0027699,           0.0027699,             0.07507
                   2,            0.063833,            0.020363,                   0,              0.5037,             0.39259,             0.39991,             0.14956,            0.053694,            0.011052,                   0,           0.0041596,           0.0041596,             0.06256
                   3,            0.058572,            0.018953,                   0,             0.38747,             0.34815,             0.31043,             0.10227,            0.054595,            0.010011,                   0,           0.0055488,           0.0055488,            0.050049
                   4,            0.055377,            0.018636,                   0,             0.50871,             0.42185,             0.40348,             0.20083,            0.050384,           0.0099415,                   0,           0.0069373,           0.0069373,            0.037537
                   5,            0.054539,            0.018212,                   0,             0.59524,             0.41396,             0.47414,             0.20293,            0.051859,           0.0096348,                   0,           0.0083249,           0.0083249,            0.025025
                   6,            0.053679,            0.018768,                   0,             0.55457,             0.48889,             0.47184,             0.21117,            0.047225,           0.0097785,                   0,           0.0097114,           0.0097114,            0.012511
                   7,            0.053537,            0.018197,                   0,             0.47472,             0.35556,             0.35717,             0.15276,            0.051869,           0.0099504,                   0,           0.0099879,           0.0099879,           0.0099879
                   8,            0.052476,            0.018114,                   0,              0.4983,             0.42963,             0.42124,             0.18156,            0.048216,           0.0096927,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.052246,            0.018192,                   0,             0.49436,             0.36296,             0.35645,             0.18642,            0.052909,             0.01046,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.050314,            0.017456,                   0,             0.30473,             0.28889,             0.21463,            0.097995,            0.056167,            0.011446,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.050429,            0.018283,                   0,             0.57396,             0.42963,             0.45579,             0.20297,             0.04792,           0.0099646,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,              0.0494,             0.01772,                   0,             0.63792,             0.54812,              0.5333,             0.25233,            0.045944,           0.0094177,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.048351,            0.017947,                   0,             0.62207,             0.48889,             0.50127,             0.25082,            0.046457,           0.0092689,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.047436,            0.017089,                   0,             0.59396,             0.46594,             0.51196,             0.22853,            0.047358,           0.0094141,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,             0.04822,            0.017565,                   0,             0.54185,             0.42963,             0.45512,             0.20084,            0.049715,            0.010063,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.047168,            0.017849,                   0,             0.51977,             0.47407,             0.50298,             0.23481,            0.046213,           0.0092245,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.046103,            0.017009,                   0,             0.61306,                 0.6,             0.58624,             0.27896,            0.046752,           0.0091127,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.046323,            0.017247,                   0,             0.68412,             0.48148,             0.55018,             0.27402,            0.045806,           0.0092854,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.045053,            0.016969,                   0,             0.55949,              0.4516,              0.5004,             0.22142,            0.047594,           0.0091951,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.044729,            0.017245,                   0,             0.64989,             0.51111,             0.56299,              0.2699,            0.043576,           0.0088205,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.044701,            0.016682,                   0,             0.58531,             0.53333,             0.51918,             0.25357,            0.044833,           0.0087581,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.043414,            0.017156,                   0,             0.59741,              0.4963,               0.524,             0.24586,            0.045468,           0.0090639,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.043538,             0.01668,                   0,              0.5698,             0.45185,             0.44683,             0.21048,            0.044155,           0.0097711,                   0,           0.0098811,           0.0098811,           0.0098811
