               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096628,             0.02106,                   0,              0.3328,             0.11824,             0.12815,            0.044736,            0.073063,            0.013332,                   0,             0.00161,             0.00161,             0.08551
                   1,            0.070343,            0.021648,                   0,             0.34393,             0.31852,             0.24156,            0.084117,            0.060094,            0.011362,                   0,           0.0032299,           0.0032299,             0.07093
                   2,            0.059793,            0.019499,                   0,             0.41533,             0.38519,              0.3283,             0.12968,            0.053823,            0.011172,                   0,           0.0048495,           0.0048495,             0.05635
                   3,            0.056996,            0.018626,                   0,             0.55653,             0.48148,             0.48164,             0.20933,            0.052996,           0.0098389,                   0,           0.0064686,           0.0064686,            0.041769
                   4,            0.055585,            0.018404,                   0,             0.37296,             0.35556,             0.28778,             0.12779,            0.054383,           0.0098937,                   0,           0.0080868,           0.0080868,            0.027187
                   5,            0.054444,             0.01812,                   0,             0.47014,              0.3037,             0.32218,             0.12977,            0.056076,            0.010283,                   0,            0.009704,            0.009704,            0.012604
                   6,            0.054203,            0.017829,                   0,             0.51986,             0.45185,             0.45757,             0.21573,            0.048841,           0.0099435,                   0,           0.0099911,           0.0099911,           0.0099911
                   7,            0.050779,            0.018537,                   0,             0.65466,             0.40722,             0.46815,             0.21444,            0.048303,           0.0099783,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.050673,            0.018026,                   0,             0.48477,             0.35544,             0.36813,             0.17387,            0.053406,            0.010601,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.050557,            0.017578,                   0,             0.56692,             0.53333,             0.50031,             0.22161,            0.048342,           0.0092667,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.049336,            0.017635,                   0,             0.54127,             0.43704,             0.44883,             0.19188,            0.049209,           0.0099672,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.048288,            0.017738,                   0,             0.56907,             0.51844,             0.53429,             0.24056,            0.046351,           0.0093653,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,             0.04814,            0.017225,                   0,             0.48762,             0.44412,             0.43283,             0.19618,            0.047935,            0.009116,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.046677,            0.017102,                   0,             0.58044,             0.53333,             0.51865,              0.2356,            0.044404,           0.0089192,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.047579,            0.017057,                   0,             0.55076,             0.51111,              0.5365,             0.24912,            0.046055,           0.0094964,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.047102,            0.016969,                   0,              0.6481,             0.53333,             0.56925,             0.26953,            0.045351,           0.0092765,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.046193,            0.016744,                   0,             0.64426,             0.52593,             0.53415,             0.24364,            0.045003,           0.0093919,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.045539,            0.017428,                   0,             0.61721,             0.46667,             0.49766,             0.24606,            0.045615,           0.0090604,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.044358,            0.017048,                   0,             0.60095,              0.5037,             0.50787,             0.24114,             0.04591,           0.0086839,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.044337,            0.016866,                   0,             0.54299,             0.51111,             0.49742,             0.23838,            0.045294,           0.0089472,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.043745,            0.016685,                   0,             0.59514,             0.55534,               0.578,             0.25441,            0.045896,           0.0085597,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.044257,            0.016515,                   0,             0.58409,             0.51111,             0.53886,               0.271,            0.044546,           0.0089944,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.043743,            0.016488,                   0,             0.67695,             0.46667,              0.5115,             0.24155,            0.045928,           0.0093635,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.044013,            0.016672,                   0,             0.59769,             0.42963,             0.44207,             0.19476,            0.046306,           0.0092224,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.042171,            0.016837,                   0,              0.5858,             0.55556,             0.55524,             0.28687,            0.045414,           0.0089069,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.043384,            0.016483,                   0,             0.66095,             0.57778,             0.60403,             0.31536,             0.04195,           0.0088567,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.041724,            0.015981,                   0,             0.64988,             0.48148,             0.55606,             0.27289,            0.045299,           0.0090726,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.040674,             0.01651,                   0,             0.70414,             0.44444,             0.53097,             0.26048,            0.046392,           0.0090021,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.04041,            0.016155,                   0,             0.67314,             0.45766,             0.53599,             0.29357,             0.04397,           0.0089977,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.041657,            0.015957,                   0,             0.55454,             0.48889,             0.51238,             0.27133,            0.044434,           0.0087438,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.040633,            0.016529,                   0,             0.61745,              0.5037,             0.51177,             0.23641,            0.045851,           0.0087969,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.040942,            0.016261,                   0,              0.5894,              0.4147,             0.44816,             0.20587,            0.044597,           0.0091807,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.039561,            0.016319,                   0,             0.57475,             0.54074,             0.53644,             0.26654,            0.044833,           0.0087625,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.039608,            0.016135,                   0,             0.52407,             0.48148,             0.48601,             0.24665,             0.04691,           0.0089799,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.039538,            0.015619,                   0,             0.68682,             0.50358,             0.56632,             0.28508,            0.045426,           0.0087806,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.039858,            0.015484,                   0,             0.58072,             0.47407,             0.48855,             0.25309,             0.04531,           0.0089523,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,             0.03901,             0.01538,                   0,             0.62225,             0.48889,              0.5096,             0.24391,            0.046451,           0.0089619,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.039328,            0.015709,                   0,             0.51964,             0.47407,             0.46931,             0.21243,            0.046485,           0.0091692,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.038423,            0.015754,                   0,             0.53743,             0.47407,             0.49874,             0.22585,            0.044962,           0.0093021,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.037857,            0.015393,                   0,             0.52941,             0.46666,             0.50996,             0.24509,            0.045609,           0.0094191,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.036909,            0.015354,                   0,             0.60475,             0.46667,             0.48799,             0.23498,             0.04698,           0.0087447,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.037544,            0.015047,                   0,             0.56754,             0.46667,             0.49452,             0.25377,            0.046405,           0.0091996,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.038094,            0.015048,                   0,             0.59786,             0.45185,             0.46264,              0.2307,            0.045573,           0.0091544,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.037724,            0.015416,                   0,             0.59994,             0.53321,              0.5656,             0.31753,            0.042582,           0.0085675,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.037272,            0.015514,                   0,             0.76603,             0.51111,             0.60981,             0.32175,            0.044121,           0.0089526,                   0,           0.0095514,           0.0095514,           0.0095514
