               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077487,            0.012353,                   0,            0.096337,            0.059259,            0.047063,            0.011654,            0.087892,            0.041732,                   0,             0.00138,             0.00138,             0.08758
                   1,            0.067709,             0.01203,                   0,             0.18501,             0.13333,            0.092537,            0.024799,            0.077177,            0.066304,                   0,           0.0027699,           0.0027699,             0.07507
                   2,             0.06557,            0.011893,                   0,             0.13333,             0.13333,            0.081338,            0.020202,            0.071109,            0.016981,                   0,           0.0041596,           0.0041596,             0.06256
                   3,            0.061759,            0.012132,                   0,             0.22202,             0.17778,              0.1318,            0.027452,            0.065759,            0.016935,                   0,           0.0055488,           0.0055488,            0.050049
                   4,             0.05834,            0.011518,                   0,              0.1804,             0.17778,             0.14945,            0.056512,            0.062599,            0.020082,                   0,           0.0069373,           0.0069373,            0.037537
                   5,            0.055803,            0.011572,                   0,             0.20929,             0.19998,              0.1432,            0.042529,            0.064422,            0.029727,                   0,           0.0083249,           0.0083249,            0.025025
                   6,            0.055281,            0.011396,                   0,              0.3931,             0.25926,             0.25298,            0.071366,            0.060747,            0.015509,                   0,           0.0097114,           0.0097114,            0.012511
                   7,            0.053986,            0.011343,                   0,             0.29709,             0.13333,             0.14612,            0.035048,             0.06456,            0.017297,                   0,           0.0099879,           0.0099879,           0.0099879
                   8,            0.051863,             0.01123,                   0,             0.30483,             0.26667,             0.19792,             0.06816,            0.061561,            0.012627,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.049023,            0.010842,                   0,              0.1728,             0.17037,             0.11288,            0.041112,            0.060025,            0.011261,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.046611,            0.010625,                   0,             0.23704,             0.23704,             0.17891,             0.06193,            0.057985,            0.010849,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.044124,            0.010153,                   0,             0.29354,             0.27407,             0.21173,            0.072556,            0.058884,            0.011156,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.042776,           0.0098782,                   0,             0.25598,             0.23704,             0.18873,             0.06969,             0.05739,            0.011707,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.044006,            0.010039,                   0,             0.27189,             0.25185,             0.19926,            0.058792,            0.060016,            0.012106,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.042378,           0.0096439,                   0,             0.24179,             0.22222,             0.15291,             0.06208,            0.058561,            0.011093,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.041139,           0.0094792,                   0,             0.31937,             0.26667,              0.2262,            0.070013,            0.057332,            0.011249,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039921,           0.0094332,                   0,              0.3045,             0.26667,             0.20175,            0.071762,            0.060303,            0.010924,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.039007,           0.0089658,                   0,             0.27596,             0.22963,             0.19385,            0.058996,            0.059986,            0.011582,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.037453,           0.0089224,                   0,             0.23308,             0.22963,             0.16272,            0.067983,            0.059915,            0.011967,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,             0.03687,           0.0086575,                   0,             0.24808,             0.24444,             0.17025,            0.063452,            0.059583,            0.011423,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.035572,           0.0083672,                   0,             0.26903,             0.25926,             0.20668,            0.071048,            0.058501,            0.011368,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.034091,           0.0080695,                   0,             0.34958,             0.31852,             0.25811,            0.098076,            0.058433,            0.013208,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,             0.03439,           0.0081761,                   0,             0.28355,             0.28148,             0.20617,            0.073348,            0.059261,            0.012501,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.034913,           0.0080312,                   0,             0.33318,             0.28889,              0.2427,             0.08741,            0.058886,            0.011541,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.033542,           0.0079514,                   0,             0.29359,             0.27399,             0.23269,             0.08695,            0.058786,             0.01144,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.032153,           0.0076437,                   0,             0.23568,             0.21481,             0.16528,            0.066407,            0.058809,            0.013442,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.032959,           0.0074653,                   0,             0.26009,             0.18519,             0.16351,            0.054462,            0.061642,            0.012529,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.031823,           0.0075959,                   0,             0.26506,             0.18519,             0.16584,            0.053249,            0.061059,            0.012352,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.030781,           0.0074302,                   0,             0.27409,             0.18519,             0.16385,            0.053038,            0.060835,            0.011921,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,             0.03111,           0.0074674,                   0,             0.18509,             0.14815,             0.10704,            0.036907,             0.06103,            0.012697,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.031748,           0.0072158,                   0,              0.3506,             0.19259,             0.19219,            0.067279,            0.063949,            0.011863,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.033057,           0.0072308,                   0,             0.24807,             0.24444,             0.16409,            0.056203,            0.057891,            0.013638,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.031444,           0.0071938,                   0,             0.33304,             0.18519,             0.16126,             0.05392,            0.061295,            0.012324,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.030702,            0.007053,                   0,             0.32252,              0.2963,             0.25427,            0.083818,            0.059496,            0.012105,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.032329,            0.007169,                   0,             0.25561,             0.25185,             0.18882,            0.066851,            0.059273,            0.012812,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.031681,           0.0073437,                   0,             0.28177,             0.22963,             0.19201,            0.069963,            0.062088,            0.012377,                   0,           0.0097178,           0.0097178,           0.0097178
