               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074777,            0.012715,                   0,            0.059685,             0.14074,            0.040848,           0.0065771,            0.080386,            0.015094,                   0,             0.00161,             0.00161,             0.08551
                   1,            0.065657,            0.012218,                   0,             0.27733,             0.18519,             0.10989,            0.020446,            0.063911,            0.014817,                   0,           0.0032299,           0.0032299,             0.07093
                   2,            0.063709,            0.011672,                   0,            0.089944,                 0.2,             0.06031,            0.013282,             0.06608,            0.015644,                   0,           0.0048495,           0.0048495,             0.05635
                   3,            0.059756,            0.011691,                   0,             0.12083,             0.17037,            0.062345,            0.013684,            0.070685,            0.024221,                   0,           0.0064686,           0.0064686,            0.041769
                   4,             0.05849,            0.011537,                   0,               0.183,             0.27407,             0.12523,            0.026566,            0.063542,            0.012675,                   0,           0.0080868,           0.0080868,            0.027187
                   5,            0.055316,            0.011491,                   0,             0.16704,             0.28889,             0.11919,            0.033143,            0.062897,            0.011686,                   0,            0.009704,            0.009704,            0.012604
                   6,            0.053346,             0.01158,                   0,             0.15933,              0.2963,             0.11133,            0.025225,            0.060689,            0.011201,                   0,           0.0099911,           0.0099911,           0.0099911
                   7,            0.053743,            0.011247,                   0,             0.26694,             0.22963,             0.15773,            0.047514,            0.060451,            0.013812,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.050544,            0.011195,                   0,              0.1641,             0.33333,             0.11388,            0.029126,            0.059003,            0.011265,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,            0.047811,            0.010899,                   0,             0.23382,             0.37778,             0.20198,            0.051149,            0.057049,            0.010363,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,            0.047014,            0.010736,                   0,             0.18599,             0.38519,             0.14943,            0.043859,            0.058041,            0.010996,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.044438,            0.010697,                   0,             0.22967,              0.3037,             0.15411,            0.052646,            0.056419,            0.011212,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.042241,            0.010241,                   0,             0.25011,             0.33333,             0.16678,            0.040454,            0.056365,            0.011178,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.041988,            0.010027,                   0,             0.21622,             0.23704,             0.11901,            0.039482,            0.057724,             0.01165,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.040792,           0.0099293,                   0,             0.19519,             0.25185,             0.12543,            0.030879,            0.058418,            0.011168,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.040547,           0.0095593,                   0,             0.22382,             0.24444,             0.13991,            0.039786,            0.059758,            0.012122,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039364,           0.0096438,                   0,             0.24105,             0.35556,             0.17689,             0.04906,             0.05708,            0.011345,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.037534,           0.0092353,                   0,             0.24173,             0.27392,             0.13896,            0.041725,            0.060681,            0.011402,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.036785,           0.0090384,                   0,              0.2632,             0.28889,             0.13616,            0.035142,            0.058883,            0.011075,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.036542,           0.0089692,                   0,             0.18905,             0.31852,             0.13379,            0.039996,             0.05757,            0.011404,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,              0.0349,            0.008687,                   0,             0.22812,             0.29554,             0.16268,            0.043815,            0.058131,            0.011849,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.034661,            0.008718,                   0,             0.19028,             0.23704,             0.12289,            0.031614,               0.059,            0.012112,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.034675,           0.0083757,                   0,             0.37126,             0.19259,             0.15468,            0.040324,            0.058697,            0.011585,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.035404,           0.0084157,                   0,             0.21116,             0.16296,             0.11153,            0.032732,            0.060537,            0.012562,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.034853,           0.0086156,                   0,             0.28563,             0.34074,             0.18045,             0.05032,            0.060875,            0.011072,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.033846,           0.0083603,                   0,             0.33278,             0.23704,              0.1645,             0.05234,            0.058199,            0.011718,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.032385,           0.0083051,                   0,             0.24986,             0.22963,             0.12828,            0.038358,            0.058433,            0.012523,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.032126,           0.0077775,                   0,              0.2835,             0.21481,             0.14559,            0.037248,            0.059311,            0.012263,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,            0.031618,           0.0078337,                   0,             0.21956,             0.28133,             0.13617,            0.040858,             0.05925,             0.01256,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.030063,           0.0073669,                   0,             0.28892,             0.22963,             0.15075,            0.044284,            0.060842,            0.012669,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.029592,            0.007341,                   0,             0.17445,             0.28889,             0.12953,            0.035833,            0.060838,            0.013212,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.031107,           0.0075832,                   0,             0.18886,             0.31111,             0.14779,            0.039118,            0.056705,            0.012394,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.030805,           0.0075597,                   0,             0.34133,             0.20741,             0.17357,            0.045327,            0.058423,            0.012695,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.029844,           0.0074396,                   0,             0.22775,             0.26667,             0.12149,            0.036738,            0.061461,            0.012229,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.029705,           0.0074043,                   0,             0.30212,             0.17037,             0.12538,            0.034054,            0.063622,            0.013034,                   0,            0.009734,            0.009734,            0.009734
